Date,Open,High,Low,Close,Adj Close,Volume
29-01-1993,43.96875,43.96875,43.75,43.9375,24.941387,1003200
01-02-1993,43.96875,44.25,43.96875,44.25,25.118774,480500
02-02-1993,44.21875,44.375,44.125,44.34375,25.172007,201300
03-02-1993,44.40625,44.84375,44.375,44.8125,25.438095,529400
04-02-1993,44.96875,45.09375,44.46875,45,25.544523,531500
05-02-1993,44.96875,45.0625,44.71875,44.96875,25.526791,492100
08-02-1993,44.96875,45.125,44.90625,44.96875,25.526791,596100
09-02-1993,44.8125,44.8125,44.5625,44.65625,25.3494,122100
10-02-1993,44.65625,44.75,44.53125,44.71875,25.38488,379600
11-02-1993,44.78125,45.125,44.78125,44.9375,25.509043,19500
12-02-1993,44.875,44.875,44.59375,44.59375,25.31391,42500
16-02-1993,44.46875,44.46875,43.40625,43.46875,24.675306,374800
17-02-1993,43.46875,43.53125,43.28125,43.4375,24.657558,210900
18-02-1993,43.9375,43.9375,42.8125,43.40625,24.639828,378100
19-02-1993,43.40625,43.5625,43.34375,43.5625,24.728527,34900
22-02-1993,43.6875,43.78125,43.5625,43.71875,24.817215,513600
23-02-1993,43.84375,43.875,43.46875,43.6875,24.799484,373700
24-02-1993,43.71875,44.25,43.71875,44.25,25.118774,26300
25-02-1993,44.21875,44.375,44.125,44.34375,25.172007,44500
26-02-1993,44.4375,44.4375,44.1875,44.40625,25.207483,66200
01-03-1993,44.5625,44.5625,44.21875,44.28125,25.136528,66500
02-03-1993,44.3125,44.9375,44.25,44.9375,25.509043,182400
03-03-1993,45,45.15625,44.9375,45.125,25.615486,280100
04-03-1993,45.1875,45.1875,44.875,44.875,25.473572,89500
05-03-1993,44.9375,45.125,44.71875,44.75,25.402617,40000
08-03-1993,44.84375,45.75,44.84375,45.75,25.970272,50800
09-03-1993,45.65625,45.6875,45.5,45.59375,25.881565,169300
10-03-1993,45.59375,45.6875,45.40625,45.6875,25.934782,194400
11-03-1993,45.71875,45.84375,45.5,45.5625,25.863834,70900
12-03-1993,45.1875,45.21875,44.8125,45.09375,25.597742,643600
15-03-1993,45.0625,45.3125,45.0625,45.3125,25.721926,310800
16-03-1993,45.3125,45.4375,45.3125,45.3125,25.721926,30800
17-03-1993,45.25,45.25,44.96875,45.03125,25.562269,21800
18-03-1993,45.21875,45.5,45.21875,45.3125,25.721926,59300
19-03-1993,45.28125,45.28125,45.03125,45.03125,25.682989,66900
22-03-1993,44.59375,44.875,44.5625,44.78125,25.540413,183400
23-03-1993,44.90625,44.9375,44.8125,44.875,25.593876,55200
24-03-1993,44.8125,45.0625,44.59375,44.875,25.593876,37200
25-03-1993,44.90625,45.25,44.84375,45.15625,25.75428,110100
26-03-1993,45.125,45.15625,44.875,44.90625,25.611704,101500
29-03-1993,44.9375,45.3125,44.9375,45.09375,25.718643,87100
30-03-1993,45.15625,45.21875,45.09375,45.21875,25.789938,56000
31-03-1993,45.34375,45.46875,45.1875,45.1875,25.7721,111600
01-04-1993,45.25,45.25,44.9375,45.03125,25.682989,129500
02-04-1993,44.65625,44.65625,44.09375,44.09375,25.148304,59400
05-04-1993,44.4375,44.4375,44.1875,44.3125,25.273069,172200
06-04-1993,44.40625,44.40625,44.0625,44.1875,25.201775,129700
07-04-1993,44.25,44.34375,44.15625,44.34375,25.290884,28000
08-04-1993,44.53125,44.53125,44.09375,44.28125,25.255236,180800
12-04-1993,44.71875,44.9375,44.65625,44.90625,25.611704,348500
13-04-1993,44.875,45.15625,44.84375,45,25.665159,146100
14-04-1993,45.03125,45.0625,44.90625,44.9375,25.629517,119600
15-04-1993,44.90625,45.03125,44.75,44.9375,25.629517,148600
16-04-1993,44.96875,45.03125,44.875,44.9375,25.629517,47900
19-04-1993,44.9375,45.0625,44.71875,44.75,25.522602,157000
20-04-1993,44.6875,44.75,44.25,44.53125,25.397835,279500
21-04-1993,44.625,44.625,44.375,44.5,25.379993,67900
22-04-1993,44.3125,44.6875,43.9375,43.9375,25.059193,97700
23-04-1993,43.84375,43.96875,43.6875,43.75,24.952242,106000
26-04-1993,43.78125,43.9375,43.28125,43.40625,24.756212,62600
